"EvergreenName","Application","CommunityPackageId","CommunityVersion","EvergreenVersion","Published","VersionMismatch","StaleDays","LastChecked","AmbiguousMatch"
"KaiKramerKeyStoreExplorer","Kai Kramer KeyStore Explorer","","","5.6.1","","False","","2026-08-22","False"
"KandraLabsZulip","Kandra Labs Zulip","zulip","5.12.0","5.12.4","2025-03-15","True","525","2026-08-22","False"
"KarakunOpenWebStart","Karakun OpenWebStart","openwebstart","1.13.0","1.14.0","2025-12-18","True","247","2026-08-22","False"
"KDiff3","KDiff3","kdiff3","1.12.0","0.9.98","2024-12-14","True","616","2026-08-22","False"
"KeePass","KeePass Password Safe","keepass","2.61.1","2.61.1","2026-05-02","False","111","2026-08-21","False"
"KeePassXCTeamKeePassXC","KeePassXC Team KeePassXC","keepassxc","2.7.12","2.7.12","2026-03-10","False","165","2026-08-22","False"
"KeeperSecurityKeeperCommander","Keeper Security Keeper Commander","commander","2026.223.3825","18.1.1","2026-03-18","True","157","2026-08-22","False"
"KeeWeb","KeeWeb","keeweb","1.18.6","1.18.7","2021-05-19","True","1921","2026-08-22","False"
"KiCad","KiCad KiCad","kicad","10.0.5","10.0.5","2026-07-23","False","30","2026-08-22","False"
"KinoveaKinovea","Kinovea","kinovea","2025.2.0","2025.2","2026-03-29","True","146","2026-08-22","False"
"KitwareCMake","Kitware CMake","cmake","4.4.2","4.4.2","2026-07-31","False","22","2026-08-22","False"
"KongInsomnia","Kong Insomnia","insomnia","1.1.0","13.1.0","2022-09-27","True","1425","2026-08-22","False"
"KovidGoyalCalibre","Kovid Goyal Calibre","calibre","9.13.0","9.13.0","2026-08-07","False","15","2026-08-22","False"
"ksnip","ksnip ksnip","ksnip","1.10.1","1.10.1","2023-03-18","False","1253","2026-08-22","False"
"KubernetesHeadlamp","Kubernetes Headlamp","headlamp","0.44.0","0.45.0","2026-07-29","True","24","2026-08-22","False"
"KubernetesKubectl","Kubernetes Kubectl","","","1.36.4","","False","","2026-08-22","False"
"KubernetesMinikube","Kubernetes Minikube","Minikube","1.38.1","1.38.1","2026-02-20","False","183","2026-08-22","False"
"LaurentCozicJoplin","Laurent Cozic Joplin","joplin","3.6.16","3.6.16","2026-08-21","False","1","2026-08-22","False"
"LehrerOffice","LehrerOffice","","","2026.3.1","","False","","2026-08-22","False"
"Letos","letos.org Letos","","","4.0.3","","False","","2026-08-22","False"
"LGTVCompanion","Jörgen Persson LGTV Companion","lgtvcompanion","5.0.4","5.7.0","2025-06-08","True","440","2026-08-22","False"
"LibreOffice","LibreOffice","libreoffice","5.4.4.20180111","26.2.3","2018-01-14","True","3142","2026-08-22","False"
"LogitechOptionsPlus","Logitech Options+","","","2.6.944893","","False","","2026-08-22","False"
"Logseq","Logseq Logseq","logseq","0.10.15","2.0.1","2025-12-01","True","264","2026-08-22","False"
"LukasHolecekCopyQ","Lukas Holecek CopyQ","copyq","6.4.0","16.0.0","2023-01-20","True","1310","2026-08-22","False"
"MakeMeAdmin","Make Me Admin","makemeadmin","2.3.0","2.4.1","2019-02-06","True","2754","2026-08-22","False"
